path,class_id,conf,x_min,y_min,x_max,y_max,origin_path,x_pos,y_pos,z_pos,study_id,series_id,instance_number,series_description,class_name
/kaggle/temp/sagittal_all_images/100206310___1792451510___9.png,0,0.717187225818634,136.00000143051147,115.99999666213989,167.00000762939453,148.00000190734863,/kaggle/input/rsna-2024-lumbar-spine-degenerative-classification/train_images/100206310/1792451510/9.dcm,3.9813848284745,-57.913857872734,-396.76615417046,100206310,1792451510,9,Sagittal T2/STIR,L1/L2_L
/kaggle/temp/sagittal_all_images/100206310___1792451510___9.png,1,0.7970858812332153,227.99999713897705,135.0000023841858,257.0000171661377,163.99999856948853,/kaggle/input/rsna-2024-lumbar-spine-degenerative-classification/train_images/100206310/1792451510/9.dcm,3.9813848284745,-57.913857872734,-396.76615417046,100206310,1792451510,9,Sagittal T2/STIR,L1/L2_R
/kaggle/temp/sagittal_all_images/100206310___1792451510___9.png,2,0.7082367539405823,119.0000057220459,183.00001621246338,149.00000095367432,213.99998664855957,/kaggle/input/rsna-2024-lumbar-spine-degenerative-classification/train_images/100206310/1792451510/9.dcm,3.9813848284745,-57.913857872734,-396.76615417046,100206310,1792451510,9,Sagittal T2/STIR,L2/L3_L
/kaggle/temp/sagittal_all_images/100206310___1792451510___9.png,3,0.7956598401069641,217.00000762939453,188.0000114440918,247.00000286102295,218.999981880188,/kaggle/input/rsna-2024-lumbar-spine-degenerative-classification/train_images/100206310/1792451510/9.dcm,3.9813848284745,-57.913857872734,-396.76615417046,100206310,1792451510,9,Sagittal T2/STIR,L2/L3_R
/kaggle/temp/sagittal_all_images/100206310___1792451510___9.png,4,0.7158614993095398,113.99999856948853,250.0,144.99999284744263,281.000018119812,/kaggle/input/rsna-2024-lumbar-spine-degenerative-classification/train_images/100206310/1792451510/9.dcm,3.9813848284745,-57.913857872734,-396.76615417046,100206310,1792451510,9,Sagittal T2/STIR,L3/L4_L
/kaggle/temp/sagittal_all_images/100206310___1792451510___9.png,5,0.8320825099945068,211.9999647140503,242.9999828338623,241.99998378753662,273.9999771118164,/kaggle/input/rsna-2024-lumbar-spine-degenerative-classification/train_images/100206310/1792451510/9.dcm,3.9813848284745,-57.913857872734,-396.76615417046,100206310,1792451510,9,Sagittal T2/STIR,L3/L4_R
/kaggle/temp/sagittal_all_images/100206310___1792451510___9.png,6,0.7245728969573975,118.99999380111694,324.0000009536743,149.00000095367432,354.9999952316284,/kaggle/input/rsna-2024-lumbar-spine-degenerative-classification/train_images/100206310/1792451510/9.dcm,3.9813848284745,-57.913857872734,-396.76615417046,100206310,1792451510,9,Sagittal T2/STIR,L4/L5_L
/kaggle/temp/sagittal_all_images/100206310___1792451510___9.png,7,0.8217726945877075,216.99998378753662,298.00002574920654,247.00000286102295,329.00002002716064,/kaggle/input/rsna-2024-lumbar-spine-degenerative-classification/train_images/100206310/1792451510/9.dcm,3.9813848284745,-57.913857872734,-396.76615417046,100206310,1792451510,9,Sagittal T2/STIR,L4/L5_R
/kaggle/temp/sagittal_all_images/100206310___1792451510___9.png,8,0.7557817697525024,152.00001001358032,395.0000047683716,181.99999332427979,426.0000228881836,/kaggle/input/rsna-2024-lumbar-spine-degenerative-classification/train_images/100206310/1792451510/9.dcm,3.9813848284745,-57.913857872734,-396.76615417046,100206310,1792451510,9,Sagittal T2/STIR,L5/S1_L
/kaggle/temp/sagittal_all_images/100206310___1792451510___9.png,9,0.848847508430481,230.00001907348633,345.0000286102295,261.00001335144043,376.99997425079346,/kaggle/input/rsna-2024-lumbar-spine-degenerative-classification/train_images/100206310/1792451510/9.dcm,3.9813848284745,-57.913857872734,-396.76615417046,100206310,1792451510,9,Sagittal T2/STIR,L5/S1_R
/kaggle/temp/sagittal_all_images/1013589491___482346415___10.png,0,0.7596843242645264,135.0000023841858,158.99999141693115,170.00000476837158,194.99999284744263,/kaggle/input/rsna-2024-lumbar-spine-degenerative-classification/train_images/1013589491/482346415/10.dcm,0.953432,-91.0535,73.85,1013589491,482346415,10,Sagittal T2/STIR,L1/L2_L
/kaggle/temp/sagittal_all_images/1013589491___482346415___10.png,1,0.8150595426559448,229.99999523162842,172.99997806549072,264.99998569488525,207.99999237060547,/kaggle/input/rsna-2024-lumbar-spine-degenerative-classification/train_images/1013589491/482346415/10.dcm,0.953432,-91.0535,73.85,1013589491,482346415,10,Sagittal T2/STIR,L1/L2_R
/kaggle/temp/sagittal_all_images/1013589491___482346415___10.png,2,0.7813758254051208,124.00000095367432,226.99997425079346,159.0000033378601,262.9999876022339,/kaggle/input/rsna-2024-lumbar-spine-degenerative-classification/train_images/1013589491/482346415/10.dcm,0.953432,-91.0535,73.85,1013589491,482346415,10,Sagittal T2/STIR,L2/L3_L
/kaggle/temp/sagittal_all_images/1013589491___482346415___10.png,3,0.7858667373657227,218.00000667572021,235.00001430511475,252.99997329711914,270.0000047683716,/kaggle/input/rsna-2024-lumbar-spine-degenerative-classification/train_images/1013589491/482346415/10.dcm,0.953432,-91.0535,73.85,1013589491,482346415,10,Sagittal T2/STIR,L2/L3_R
